,labels,values
0,space,4
1,ctrl_l,0
2,f1,0
3,f2,0
4,f3,0
5,f4,0
6,f5,0
7,f6,0
8,f7,0
9,f8,0
10,f9,0
11,f10,0
12,f11,0
13,f12,0
14,up,0
15,down,0
16,right,0
17,page_up,0
18,page_down,0
19,left,0
20,shift,0
21,caps_lock,0
22,tab,0
23,backspace,0
24,delete,0
25,enter,0
26,alt_l,0
27,<255>,0
28,esc,0
29,\\,0
30,ctrl_r,0
31,shift_l,0
32,"""""",0
33,a,0
34,b,0
35,c,0
36,d,0
37,e,0
38,f,0
39,g,0
40,h,0
41,i,0
42,j,0
43,k,0
44,l,0
45,m,0
46,n,0
47,o,0
48,p,0
49,q,0
50,r,0
51,s,0
52,t,0
53,u,0
54,v,0
55,w,0
56,x,0
57,y,0
58,z,0
59,1,0
60,2,0
61,3,0
62,4,0
63,5,0
64,6,0
65,7,0
66,8,0
67,9,0
68,0,0
69,.,0
70,!,0
71,@,0
72,#,0
73,$,0
74,%,0
75,^,0
76,&,0
77,*,0
78,(,0
79,),0
80,_,0
81,+,0
82,-,0
83,=,0
84,`,0
85,[,0
86,],0
87,{,0
88,},0
89,",",0
90,|,0
91,/,0
92,<,0
93,>,0
94,~,0
95,:,0
96,;,0
97,"""",0
98,?,0
99,Total,4
